Genus;Species;Location;Subject;Sex;Age;#insertions;#bouts;HI;AbsHI;z-score;Category;References;Clade
Alouatta;seniculus;Berlin (Tierpark);Moena;f;adult;23;10;1;1;4.795831523;right;this study;Platyrrhini
Ateles;hybrid, unknown parent species;Ulm;Gustav;m;adult;33;17;0.939;0.939;5.396407335;right;this study;Platyrrhini
Ateles;geoffroyi x chamek;Ulm;Coco;f;adult;36;25;-0.334;0.334;-2;left;this study;Platyrrhini
Cercopithecus;cephus;Munich;cc_male_1;m;adult;90;57;-0.2;0.2;-1.897366596;ambipreferent;this study;Cercopithecoidea
Cercopithecus;cephus;Gelsenkirchen;L'asticot;m;adult;31;9;-1;1;-5.567764363;left;this study;Cercopithecoidea
Cercopithecus;cephus;Gelsenkirchen;Finah;f;adult;35;7;1;1;5.916079783;right;this study;Cercopithecoidea
Cercopithecus;cephus;Gelsenkirchen;Hanne;f;adult;35;11;-0.143;0.143;-0.845154255;ambipreferent;this study;Cercopithecoidea
Colobus;guereza;Dresden;cg_male_1;m;adult;90;57;-0.2;0.2;-1.897366596;ambipreferent;this study;Cercopithecoidea
Eulemur;rubriventer;Mulhouse;Savah;f;adult;31;11;-1;1;-5.567764363;left;this study;Lemuriformes
