"Lay term","Order/suborder","Family","Genus/species"
"Elephant shrew","Macroscelidea","Macroscelididae","Elephantulus myurus"
"Aardvark","Tubulidentata","Orycteropodidae","Orycteropus afer"
"Elephant","Proboscidea","Elephantidae","Loxodonta africana"
"Armadillo","Cingulata","Dasypodidae","Dasypus novemcinctus"
"Chimpanzee","Primates","Hominidae","Pan troglodytes"
"Human","Primates","Hominidae","Homo sapiens"
"Gorilla","Primates","Hominidae","Gorilla gorilla"
"Macaque","Primates","Cercopithecidae","Macaca mulatta"
"Tree shrew","Scandentia","Tupaiidae","Tupaia belangeri"
"Rat","Rodentia/Myomorpha","Muridae","Rattus norvegicus"
"Mouse","Rodentia/Myomorpha","Muridae","Mus musculus"
"Hamster","Rodentia/Myomorpha","Cricetidae","Mesocricetus auratus"
"Guinea pig","Rodentia/Hystricomorpha","Caviidae","Cavia porcellus"
"Ferret","Carnivora/Caniformia","Mustelidae","Mustela putorius furo"
"Dog","Carnivora/Caniformia","Canidae","Canis lupus familiaris"
"Cat","Carnivora/Feliformia","Felidae","Felis catus"
"Horse","Perissodactyla","Equidae","Equus caballus"
"Sheep","Artiodactyla/Ruminantia","Bovidae","Ovis aries"
"Cow","Artiodactyla/Ruminantia","Bovidae","Bos taurus"
"Chital","Artiodactyla/Ruminantia","Cervidae","Axis axis"
"Elk","Artiodactyla/Ruminantia","Cervidae","Cervus canadensis"
"Hippopotamus","Artiodactyla/Suiformes","Hippopotamidae","Hippopotamus amphibius"
"Camel","Artiodactyla/Tylopoda","Camelidae","Camelus dromedarius"
"Hedgehog","Erinaceomorpha","Erinaceidae","Erinaceus europaeus"
