Species,group,n,body_weight_g,IOPr_mm3,IOAcMed_mm3,IOAcDors_mm3,IOAc_mm3,activity_time,diet,locomotor_type
Tupaia glis,Scandentia,2,170,0.672,0.774,0.501,1.28,D,Ins,SAQ
Urogale everetti,Scandentia,1,275,0.661,0.848,0.433,1.28,D,Ins,SAQ
Microcebus murinus,Prosimian,2,54,0.380,0.282,0.370,0.652,N,Ins,AQP
Cheirogaleus major,Prosimian,2,450,1.62,1.30,1.31,2.61,N,Fru,AQP
Cheirogaleus med.,Prosimian,1,177,0.726,0.415,0.610,1.03,N,Fru,AQP
Lemur fulvus,Prosimian,2,1400,4.46,3.37,3.36,6.73,D,Fol,AQP
Varecia variegata,Prosimian,1,3000,5.19,7.03,4.95,12.0,D,Fol,AQP
Lepilemur ruficaud,Prosimian,1,915,1.71,1.67,1.42,3.09,N,Fol,VCL
Avahi laniger,Prosimian,1,860,2.22,1.71,1.52,3.23,N,Fol,VCL
Propithecus verr.,Prosimian,2,3480,5.95,6.68,3.52,10.2,D,Fol,VCL
Indri indri,Prosimian,2,6250,8.94,7.23,4.56,11.8,D,Fol,VCL
Daubentonia madagas,Prosimian,1,2800,10.7,7.98,5.37,13.4,N,Ins,AQP
Loris tardigradus,Prosimian,2,322,0.921,1.08,0.844,1.92,N,Ins,SCQ
Nycticebus coucang,Prosimian,2,800,1.96,1.77,1.41,3.18,N,Ins,SCQ
Perodicticus potto,Prosimian,2,1150,2.14,3.43,1.95,5.38,N,Fru,SCQ
Galago senegal.,Prosimian,2,186,0.8000,1.08,0.717,1.80,N,Fru,VCL
Otolemur crassicaud.,Prosimian,2,850,1.35,2.43,1.47,3.90,N,Fru,VCL
Galagoides demidoff,Prosimian,2,81,0.436,0.717,0.507,1.22,N,Ins,VCL
Tarsius spp.,Prosimian,3,125,0.582,1.17,0.551,1.72,N,Ins,VCL
Callithrix jacchus,New World monkey,2,280,0.767,1.13,0.864,1.99,D,Fru,NAQ
Cebuella pygmaea,New World monkey,2,120,0.716,0.852,0.563,1.42,D,Fru,NAQ
Saguinus midas,New World monkey,2,340,1.12,1.59,0.960,2.55,D,Fru,NAQ
Saguinus oedipus,New World monkey,2,380,1.19,1.29,1.10,2.39,D,Fru,NAQ
Cebus albifrons,New World monkey,1,3100,18.5,7.81,8.41,16.2,D,Fru,NAQ
Aotus trivirgatus,New World monkey,2,830,2.20,1.92,1.26,3.18,N,Fru,NAQ
Callicebus moloch,New World monkey,2,900,2.07,2.56,1.57,4.13,D,Fru,NAQ
Saimiri sciureus,New World monkey,2,660,2.40,2.82,1.86,4.68,D,Fru,NAQ
Pithecia monachus,New World monkey,2,1500,7.14,3.71,2.32,6.03,D,Fru,NAQ
Alouatta seniculus,New World monkey,2,6400,18.1,7.80,5.39,13.2,D,Fol,NSB
Ateles geoffroyi,New World monkey,1,8000,24.3,4.52,4.62,9.14,D,Fru,NSB
Lagothrix lagothricha,New World monkey,2,5200,21.7,5.42,3.65,9.07,D,Fru,NSB
Macaca mulatta,Old World monkey,2,7800,26.6,8.73,6.93,15.7,D,Fru,OTQ
Cercocebus albigena,Old World monkey,2,7900,20.2,9.51,5.62,15.1,D,Fru,OAQ
Papio anubis,Old World monkey,2,25000,26.8,16.1,9.25,25.4,D,Fru,OTQ
Cercopithecus ascanius,Old World monkey,2,3400,15.0,6.53,4.38,10.9,D,Fru,OAQ
Cercopithecus mitis,Old World monkey,1,6300,13.2,7.41,3.48,10.9,D,Fru,OAQ
Miopithecus talapoin,Old World monkey,2,1200,9.24,4.36,3.11,7.47,D,Fru,OAQ
Erythrocebus patas,Old World monkey,2,7800,14.7,7.10,5.50,12.6,D,Fru,OTQ
Colobus badius,Old World monkey,2,7000,18.0,6.43,3.47,9.90,D,Fol,OSB
Pygathrix nemaeus,Old World monkey,1,7500,20.6,7.34,4.37,11.7,D,Fol,OSB
Nasalis larvatus,Old World monkey,1,14000,33.0,10.8,6.65,17.5,D,Fol,OSB
Hylobates lar,Ape/Human,1,5700,47.5,13.6,5.92,19.5,D,Fru,OTB
Pan troglodytes,Ape/Human,1,46000,65.1,3.69,2.16,5.85,D,Fru,OMB
Gorilla gorilla,Ape/Human,2,105000,94.3,12.8,5.52,18.3,D,Fol,OMB
Homo sap. sapiens,Ape/Human,2,65000,189,14.5,8.50,23.0,D,Omni,SBP
